Rank	Word	Frequency	Frequency per million	Zipf value
312	vero	60	135.4338	5.1317
312	zorgas	60	135.4338	5.1317
312	ĉi-tie	60	135.4338	5.1317
312	ŝajne	60	135.4338	5.1317
313	bonvenon	59	133.1765	5.1244
313	danĝero	59	133.1765	5.1244
313	elnederlandigis	59	133.1765	5.1244
313	eniris	59	133.1765	5.1244
313	freneziĝis	59	133.1765	5.1244
313	komencis	59	133.1765	5.1244
313	ludo	59	133.1765	5.1244
313	popolo	59	133.1765	5.1244
313	sekvu	59	133.1765	5.1244
313	ĉeestas	59	133.1765	5.1244
314	alvenos	58	130.9193	5.117
314	aĵoj	58	130.9193	5.117
314	dankas	58	130.9193	5.117
314	kian	58	130.9193	5.117
314	savi	58	130.9193	5.117
314	soldatoj	58	130.9193	5.117
314	sorĉistino	58	130.9193	5.117
314	trajno	58	130.9193	5.117
315	petegas	57	128.6621	5.1095
315	rolo	57	128.6621	5.1095
315	vizaĝo	57	128.6621	5.1095
316	eminenco	56	126.4048	5.1018
316	ene	56	126.4048	5.1018
316	jesuo	56	126.4048	5.1018
316	klare	56	126.4048	5.1018
316	ludas	56	126.4048	5.1018
316	malbeno	56	126.4048	5.1018
316	mastro	56	126.4048	5.1018
316	pafis	56	126.4048	5.1018
316	preferas	56	126.4048	5.1018
316	reĝa	56	126.4048	5.1018
316	sciu	56	126.4048	5.1018
316	stranga	56	126.4048	5.1018
316	ulo	56	126.4048	5.1018
317	bonaj	55	124.1476	5.0939
317	diablo	55	124.1476	5.0939
317	dreverhaven	55	124.1476	5.0939
317	maro	55	124.1476	5.0939
317	maŭra	55	124.1476	5.0939
317	parolos	55	124.1476	5.0939
317	pensu	55	124.1476	5.0939
317	portas	55	124.1476	5.0939
317	profesoro	55	124.1476	5.0939
317	ranĉo	55	124.1476	5.0939
317	skribi	55	124.1476	5.0939
317	yakul	55	124.1476	5.0939
317	ĉambro	55	124.1476	5.0939
317	ŝanĝi	55	124.1476	5.0939
318	an	54	121.8904	5.086
318	anstataŭ	54	121.8904	5.086
318	bestoj	54	121.8904	5.086
318	foriras	54	121.8904	5.086
318	ia	54	121.8904	5.086
318	legi	54	121.8904	5.086
318	manon	54	121.8904	5.086
318	matene	54	121.8904	5.086
