Rank	Word	Frequency	Frequency per million	Zipf value
409	भेज	105	133.9033	5.1268
409	सोचते	105	133.9033	5.1268
410	उनमें	104	132.628	5.1226
410	खाली	104	132.628	5.1226
410	जानेमन	104	132.628	5.1226
410	नेता	104	132.628	5.1226
410	बेकार	104	132.628	5.1226
410	बैठ	104	132.628	5.1226
410	मजबूत	104	132.628	5.1226
410	सरकार	104	132.628	5.1226
411	छह	103	131.3528	5.1184
411	पैर	103	131.3528	5.1184
411	मुक्त	103	131.3528	5.1184
412	डौग	102	130.0775	5.1142
412	पूछना	102	130.0775	5.1142
412	पेड़	102	130.0775	5.1142
412	यीशु	102	130.0775	5.1142
412	युवा	102	130.0775	5.1142
413	is	101	128.8022	5.1099
413	साथी	101	128.8022	5.1099
414	कप्तान	100	127.5269	5.1056
414	दिमाग	100	127.5269	5.1056
414	बर्ट	100	127.5269	5.1056
414	विकल्प	100	127.5269	5.1056
414	विशेष	100	127.5269	5.1056
414	सीधे	100	127.5269	5.1056
415	उनका	99	126.2517	5.1012
415	खोजने	99	126.2517	5.1012
415	गर्म	99	126.2517	5.1012
415	जांच	99	126.2517	5.1012
415	तय	99	126.2517	5.1012
415	लक्ष्य	99	126.2517	5.1012
415	सूअर	99	126.2517	5.1012
416	murph	98	124.9764	5.0968
416	rmnderएम	98	124.9764	5.0968
416	कठिन	98	124.9764	5.0968
416	ख्याल	98	124.9764	5.0968
416	निकल	98	124.9764	5.0968
416	पड़ा	98	124.9764	5.0968
416	प्रार्थना	98	124.9764	5.0968
417	गति	97	123.7011	5.0924
417	दरवाजे	97	123.7011	5.0924
