Rank	Word	Frequency	Frequency per million	Zipf value
280	ნაგთჟრთნა	341	275.2033	5.4397
281	ჳსბაგჲ	340	274.3962	5.4384
282	თჟკაჳ	339	273.5892	5.4371
283	ნწმამ	338	272.7822	5.4358
283	ჟთნ	338	272.7822	5.4358
284	ენთ	337	271.9751	5.4345
284	ნთქრჲ	337	271.9751	5.4345
285	ჱეპაჟრთ	336	271.1681	5.4332
286	ბვ	335	270.361	5.4319
287	გვ	334	269.554	5.4306
287	ჱეპაგჲ	334	269.554	5.4306
288	მჲმვნრ	330	266.3258	5.4254
289	ოჲგვვ	327	263.9046	5.4214
290	მთნსრთ	326	263.0976	5.4201
290	ჟრთდა	326	263.0976	5.4201
291	ევრვ	324	261.4835	5.4174
292	გპვმვრჲ	321	259.0623	5.4134
293	ნვღარა	319	257.4482	5.4107
294	ჳაპთ	318	256.6412	5.4093
295	ოჲმჲდნა	317	255.8341	5.408
296	კაჱგა	316	255.0271	5.4066
296	კჲდჲ	316	255.0271	5.4066
296	ჟკყოა	316	255.0271	5.4066
296	ფაჟა	316	255.0271	5.4066
297	ბყპჱჲ	315	254.2201	5.4052
297	დჲგჲპწ	315	254.2201	5.4052
298	შენ	314	253.413	5.4038
299	მყზ	313	252.606	5.4024
300	წჟნჲ	310	250.1848	5.3983
301	გყპნა	309	249.3778	5.3969
301	კაკყგ	309	249.3778	5.3969
301	მჲწრა	309	249.3778	5.3969
302	გჟყღნჲჟრ	307	247.7637	5.394
303	გთზეამ	306	246.9566	5.3926
304	მჲარა	305	246.1496	5.3912
304	ჲჟგვნ	305	246.1496	5.3912
305	მჲმთფვ	304	245.3425	5.3898
306	ეაგაი	303	244.5355	5.3883
306	ვი	303	244.5355	5.3883
306	ფაჟრ	303	244.5355	5.3883
307	ოპაგთმ	302	243.7284	5.3869
307	ჟს	302	243.7284	5.3869
308	ოპაგჲ	300	242.1143	5.384
308	რგჲთრვ	300	242.1143	5.384
309	მჲზვრვ	299	241.3073	5.3826
310	ევუა	298	240.5002	5.3811
311	უნდა	296	238.8861	5.3782
311	ჳაპვჟგა	296	238.8861	5.3782
312	ბწჳა	295	238.0791	5.3767
312	ეანთ	295	238.0791	5.3767
312	კჲლარა	295	238.0791	5.3767
312	ოარ	295	238.0791	5.3767
313	გყპგთ	294	237.272	5.3752
314	ნვრ	292	235.658	5.3723
315	დ	291	234.8509	5.3708
315	ეპსდთ	291	234.8509	5.3708
315	ნაოპაგთმ	291	234.8509	5.3708
316	ალთ	290	234.0439	5.3693
316	გთეწჳ	290	234.0439	5.3693
316	ნაჱაე	290	234.0439	5.3693
317	ეგამარა	288	232.4298	5.3663
318	მთჟლთ	286	230.8157	5.3633
319	კჲლკს	285	230.0086	5.3617
319	ოპვეგთე	285	230.0086	5.3617
320	ოპჲრთგ	283	228.3945	5.3587
320	ოჲდლვენთ	283	228.3945	5.3587
321	გთეთქ	282	227.5875	5.3571
322	გყპგთმ	281	226.7804	5.3556
322	ლჲქჲ	281	226.7804	5.3556
322	ნაოპაგთლ	281	226.7804	5.3556
323	მვზეს	279	225.1663	5.3525
324	კაკგთ	278	224.3593	5.3509
324	ნთკჲდაქ	278	224.3593	5.3509
324	რაკყგ	278	224.3593	5.3509
325	კაზვ	277	223.5522	5.3494
325	მჲვრჲ	277	223.5522	5.3494
326	ჱარჲა	275	221.9381	5.3462
327	ბთლთ	274	221.1311	5.3446
327	სბთ	274	221.1311	5.3446
328	რჲლკს	273	220.324	5.3431
329	თჟკარვ	272	219.517	5.3415
329	ჟაკა	272	219.517	5.3415
329	ფსევჟნჲ	272	219.517	5.3415
330	კყევრჲ	268	216.2888	5.335
330	მაი	268	216.2888	5.335
330	ღჲმ	268	216.2888	5.335
331	მამა	267	215.4818	5.3334
332	ბყეა	266	214.6747	5.3318
332	ჱეპაგვირვ	266	214.6747	5.3318
333	გჱვმა	265	213.8677	5.3301
334	ჲეთ	263	212.2536	5.3269
335	რგჲწ	262	211.4465	5.3252
335	რპყდგამვ	262	211.4465	5.3252
336	გყრპვ	261	210.6395	5.3235
336	თჱგთნთ	261	210.6395	5.3235
337	გჱვმთ	259	209.0254	5.3202
337	მყპრყგ	259	209.0254	5.3202
338	გაქვ	258	208.2183	5.3185
338	დჲრჲგ	258	208.2183	5.3185
338	ჟვპთჲჱნჲ	258	208.2183	5.3185
338	ჱაქრჲ	258	208.2183	5.3185
339	ოჲნვ	256	206.6042	5.3151
340	დლვეამ	254	204.9901	5.3117
340	ოვრ	254	204.9901	5.3117
340	რგჲარა	254	204.9901	5.3117
340	ჲრკყევ	254	204.9901	5.3117
341	ჱაე	253	204.1831	5.31
342	პაეგამ	252	203.376	5.3083
343	გპართ	251	202.569	5.3066
343	ევუარა	251	202.569	5.3066
343	მვჟრჲ	251	202.569	5.3066
344	მნვ	250	201.7619	5.3048
344	ტალა	250	201.7619	5.3048
345	ჟპვღს	249	200.9549	5.3031
346	პვეს	248	200.1479	5.3014
346	წჟვმთნ	248	200.1479	5.3014
346	ჲფთრვ	248	200.1479	5.3014
347	დჲჟოჲეთნვ	246	198.5338	5.2978
347	ზთგ	246	198.5338	5.2978
347	რგჲჲრ	246	198.5338	5.2978
348	ნაე	245	197.7267	5.2961
348	ნაქთრვ	245	197.7267	5.2961
349	დპაე	242	195.3056	5.2907
350	ნთრჲ	241	194.4985	5.2889
350	ჟგვრა	241	194.4985	5.2889
351	ნწკჲთ	240	193.6915	5.2871
352	ეამ	239	192.8844	5.2853
353	ოყრთ	238	192.0774	5.2835
354	გვვ	237	191.2703	5.2816
354	მვნწ	237	191.2703	5.2816
354	სრპჲ	237	191.2703	5.2816
355	ეაევ	236	190.4633	5.2798
355	ჲკჲლჲ	236	190.4633	5.2798
356	მაგრამ	235	189.6562	5.278
357	რაკთგა	234	188.8492	5.2761
357	ჲეამ	234	188.8492	5.2761
358	გთზეაქ	233	188.0421	5.2743
358	პაჱბთპაქ	233	188.0421	5.2743
358	ფაჟ	233	188.0421	5.2743
358	ჱნავჳ	233	188.0421	5.2743
359	ღვქვ	232	187.2351	5.2724
360	კაზვრვ	231	186.428	5.2705
360	ნწმაქვ	231	186.428	5.2705
361	არა	230	185.621	5.2686
361	გაჟთლთ	230	185.621	5.2686
361	დლვეა	230	185.621	5.2686
361	ფვკა	230	185.621	5.2686
362	გკყღთ	229	184.8139	5.2667
362	დპაეა	229	184.8139	5.2667
363	დჲგჲპთმ	228	184.0069	5.2648
363	დჲპვ	228	184.0069	5.2648
363	ჟვსქრვ	228	184.0069	5.2648
364	ეზაკ	227	183.1998	5.2629
364	მჲპამ	227	183.1998	5.2629
365	დლვეაქ	226	182.3928	5.261
366	ის	224	180.7787	5.2571
366	მჲდს	224	180.7787	5.2571
366	ჲგაა	224	180.7787	5.2571
367	ოპთწრვლთ	223	179.9717	5.2552
367	რაკ	223	179.9717	5.2552
368	ბვგ	222	179.1646	5.2533
368	დჲლწმა	222	179.1646	5.2533
368	ჲრთეა	222	179.1646	5.2533
369	ეპსდთრვ	221	178.3576	5.2513
369	კა	221	178.3576	5.2513
370	ნამვპთ	220	177.5505	5.2493
370	ნაქარა	220	177.5505	5.2493
370	რარჲ	220	177.5505	5.2493
371	გვენყზ	219	176.7435	5.2473
371	თუ	219	176.7435	5.2473
371	თჱ	219	176.7435	5.2473
371	კჲლა	219	176.7435	5.2473
371	ოყპგჲ	219	176.7435	5.2473
372	კაჱგაქ	218	175.9364	5.2454
372	მამკა	218	175.9364	5.2454
372	ოპაგ	218	175.9364	5.2454
373	ეჲევკა	217	175.1294	5.2434
373	ნვმჲ	217	175.1294	5.2434
373	პაჱბპაჳ	217	175.1294	5.2434
374	ჟლსფაი	216	174.3223	5.2414
374	ჟრპაჳჲრნჲ	216	174.3223	5.2414
374	ჱნავმ	216	174.3223	5.2414
375	თმარ	215	173.5153	5.2393
375	მწჟრჲრჲ	215	173.5153	5.2393
376	ჱნაფვნთვ	214	172.7082	5.2373
377	კჲლკჲრჲ	213	171.9012	5.2353
377	ლვჟნჲ	213	171.9012	5.2353
377	მაკა	213	171.9012	5.2353
377	მჲმვნრა	213	171.9012	5.2353
378	თჱგთნწგაი	212	171.0941	5.2332
378	ჟლსქაი	212	171.0941	5.2332
378	რაკჲგა	212	171.0941	5.2332
379	მთჟლთრვ	211	170.2871	5.2312
379	ოსკა	211	170.2871	5.2312
380	ბთევთ	210	169.48	5.2291
380	ბპაგჲ	210	169.48	5.2291
380	გაზნჲ	210	169.48	5.2291
380	ჟოჲკჲინჲ	210	169.48	5.2291
381	ალჲ	209	168.673	5.227
381	კყღარა	209	168.673	5.227
381	ოყკ	209	168.673	5.227
382	კჲნ	208	167.8659	5.225
382	ჟვემთუა	208	167.8659	5.225
382	ჩემი	208	167.8659	5.225
383	აქ	207	167.0589	5.2229
383	ჟოაპრაკ	207	167.0589	5.2229
383	ფჲგვფვ	207	167.0589	5.2229
384	მჲდარ	206	166.2518	5.2208
385	ჟგვ	205	165.4448	5.2187
386	ბლადჲეაპამ	204	164.6377	5.2165
386	ჟთდსპნა	204	164.6377	5.2165
387	თეგა	203	163.8307	5.2144
387	მაიკ	203	163.8307	5.2144
387	ოჲმჲღ	203	163.8307	5.2144
387	ოჲფრთ	203	163.8307	5.2144
387	ჟვკჲ	203	163.8307	5.2144
387	ჟოპთ	203	163.8307	5.2144
387	ჱვმწრა	203	163.8307	5.2144
387	ჲბაეთ	203	163.8307	5.2144
387	ჲგთვ	203	163.8307	5.2144
388	დევ	202	163.0237	5.2123
388	ეჲქლთ	202	163.0237	5.2123
388	კვ	202	163.0237	5.2123
388	ჟამა	202	163.0237	5.2123
389	გშ	201	162.2166	5.2101
389	მაკჟ	201	162.2166	5.2101
389	სბთვ	201	162.2166	5.2101
390	ბაქ	200	161.4096	5.2079
390	გჟწკა	200	161.4096	5.2079
390	ეჲბპთ	200	161.4096	5.2079
390	ჟრჲი	200	161.4096	5.2079
391	ეჲლაპა	199	160.6025	5.2058
391	ოპვჟრანთ	199	160.6025	5.2058
391	რგჲვრჲ	199	160.6025	5.2058
392	გთზეალ	198	159.7955	5.2036
392	გპარარა	198	159.7955	5.2036
392	დჲრჲგთ	198	159.7955	5.2036
392	თევწ	198	159.7955	5.2036
392	თჱდლვეა	198	159.7955	5.2036
392	ჟგყპქთ	198	159.7955	5.2036
393	დჲჟოჲეა	197	158.9884	5.2014
393	კაჱალ	197	158.9884	5.2014
393	ოპვგჲე	197	158.9884	5.2014
393	ოპვეოჲლადამ	197	158.9884	5.2014
393	ჲჟრანა	197	158.9884	5.2014
394	გჲეა	196	158.1814	5.1992
394	ევ	196	158.1814	5.1992
394	პვფვ	196	158.1814	5.1992
394	ფაჲ	196	158.1814	5.1992
395	ბჲდ	195	157.3743	5.1969
395	თჱბჲპ	195	157.3743	5.1969
